<CODE>
sl
</CODE>
<TRANSITION>
\n\n( 1 20 
\n\n( 2 13 
\n\n* \s 41 
\n\n- \s 41 
\n\n1 . 11 
\n\n1 0 19 
\n\n1 1 16 
\n\n1 2 10 
\n\n1 5 16 
\n\n1 6 12 
\n\n1 7 18 
\n\n1 8 20 
\n\n1 9 69 
\n\n2 . 11 
\n\n2 0 35 
\n\n2 4 11 
\n\n4 1 10 
\n\n: z 10 
\n\n; \s 18 
\n\na \s 23 
\n\na d 20 
\n\na l 55 
\n\na m 14 
\n\na n 51 
\n\na p 112 
\n\na r 55 
\n\na v 123 
\n\nb a 47 
\n\nb e 36 
\n\nb i 68 
\n\nb o 42 
\n\nb r 46 
\n\nc a 18 
\n\nc e 38 
\n\nc h 23 
\n\nc i 13 
\n\nc o 19 
\n\nc r 10 
\n\nd a 77 
\n\nd e 282 
\n\nd i 64 
\n\nd o 159 
\n\nd r 78 
\n\nd v 23 
\n\ne d 17 
\n\ne k 11 
\n\ne n 23 
\n\nf a 23 
\n\nf e 107 
\n\nf i 29 
\n\nf o 14 
\n\nf r 45 
\n\ng a 24 
\n\ng e 50 
\n\ng i 11 
\n\ng l 308 
\n\ng o 46 
\n\ng r 91 
\n\nh a 28 
\n\nh e 28 
\n\nh i 24 
\n\nh o 24 
\n\nh r 13 
\n\nh u 13 
\n\ni g 16 
\n\ni m 51 
\n\ni n 60 
\n\ni s 36 
\n\ni v 10 
\n\ni z 119 
\n\nj a 187 
\n\nj e 97 
\n\nj o 35 
\n\nj u 244 
\n\nk a 103 
\n\nk e 48 
\n\nk i 14 
\n\nk l 34 
\n\nk m 17 
\n\nk n 22 
\n\nk o 215 
\n\nk r 48 
\n\nk u 17 
\n\nl a 57 
\n\nl e 344 
\n\nl i 42 
\n\nl j 52 
\n\nl o 45 
\n\nl u 14 
\n\nm a 345 
\n\nm e 223 
\n\nm i 49 
\n\nm l 15 
\n\nm n 11 
\n\nm o 72 
\n\nn . 131 
\n\nn a 425 
\n\nn e 127 
\n\nn i 30 
\n\nn j 139 
\n\nn o 122 
\n\no \s 13 
\n\no b 123 
\n\no d 156 
\n\no k 160 
\n\no p 46 
\n\no r 15 
\n\no s 54 
\n\no z 11 
\n\np a 64 
\n\np e 88 
\n\np i 45 
\n\np l 15 
\n\np o 596 
\n\np r 498 
\n\nr a 135 
\n\nr e 98 
\n\nr i 26 
\n\nr o 64 
\n\nr u 14 
\n\ns \s 55 
\n\ns a 56 
\n\ns c 15 
\n\ns e 300 
\n\ns i 41 
\n\ns k 47 
\n\ns l 60 
\n\ns m 14 
\n\ns o 50 
\n\ns p 51 
\n\ns r 17 
\n\ns t 291 
\n\ns u 11 
\n\ns v 54 
\n\nt a 178 
\n\nt e 95 
\n\nt h 14 
\n\nt i 36 
\n\nt o 123 
\n\nt r 70 
\n\nt u 66 
\n\nu k 17 
\n\nu m 19 
\n\nu n 10 
\n\nu p 39 
\n\nu r 23 
\n\nu s 26 
\n\nv \s 469 
\n\nv a 33 
\n\nv e 143 
\n\nv i 104 
\n\nv o 40 
\n\nv r 22 
\n\nv s 61 
\n\nv z 19 
\n\nw i 14 
\n\nz \s 50 
\n\nz a 271 
\n\nz d 14 
\n\nz e 17 
\n\nz g 80 
\n\nz l 11 
\n\nz m 14 
\n\nz n 52 
\n\nz r 15 
\n\nz u 81 
\n\nz v 11 
\n\nč a 12 
\n\nč e 67 
\n\nč l 19 
\n\nš e 20 
\n\nš k 11 
\n\nš t 152 
\n\nž e 33 
\n\nž i 74 
\n\nž u 14 
\n(1 9 16 
\n(2 0 12 
\n19 9 16 
\n2. \s 10 
\n20 0 22 
\nad m 13 
\nal b 14 
\nan d 14 
\nan t 13 
\nap r 106 
\nar m 25 
\nav g 106 
\nba r 13 
\nba t 16 
\nbe r 12 
\nbi l 45 
\nbr i 29 
\nca r 10 
\nce l 14 
\nce r 10 
\nch a 11 
\nda \s 14 
\nda n 41 
\nde c 139 
\nde l 103 
\ndi p 12 
\ndi r 24 
\ndi v 14 
\ndo \s 44 
\ndo b 13 
\ndo g 31 
\ndo l 16 
\ndo m 16 
\ndo s 11 
\ndr . 11 
\ndr a 11 
\ndr u 40 
\ndr ž 12 
\nen a 10 
\nfe b 93 
\nfi l 11 
\nfr a 37 
\nge n 10 
\nge o 32 
\ngl a 39 
\ngl e 262 
\ngo r 13 
\ngo s 11 
\ngr a 28 
\ngr e 43 
\nig r 13 
\nim a 13 
\nim e 35 
\nin \s 38 
\nis t 22 
\niz \s 24 
\niz d 16 
\niz v 33 
\nja n 159 
\nje \s 52 
\nje a 11 
\nje z 10 
\njo h 14 
\nju l 114 
\nju n 105 
\nju r 12 
\nka k 10 
\nka n 15 
\nka r 21 
\nka s 24 
\nke r 37 
\nkl j 22 
\nkm a 12 
\nkn j 21 
\nko \s 59 
\nko l 10 
\nko m 18 
\nko n 34 
\nko r 13 
\nko t 53 
\nkr a 24 
\nla h 20 
\nla s 13 
\nle g 17 
\nle t 286 
\nlj u 52 
\nma j 120 
\nma n 14 
\nma r 150 
\nma t 16 
\nme d 131 
\nme s 64 
\nmi n 11 
\nml a 12 
\nmn o 10 
\nmo r 10 
\nmo t 10 
\nmo š 19 
\nn. \s 131 
\nna \s 171 
\nna d 18 
\nna g 11 
\nna j 75 
\nna m 11 
\nna p 22 
\nna r 10 
\nna s 41 
\nna t 21 
\nne k 67 
\nne m 15 
\nne v 10 
\nnj e 115 
\nnj i 21 
\nno v 102 
\nob \s 36 
\nob a 13 
\nob l 12 
\nob s 19 
\nod \s 71 
\nod k 22 
\nod l 10 
\nod s 10 
\nod v 17 
\nok o 15 
\nok t 129 
\nop i 13 
\nop o 10 
\nos e 25 
\nos t 10 
\npa r 13 
\npe h 42 
\npe s 10 
\npe t 23 
\npi s 14 
\npo \s 167 
\npo b 16 
\npo d 50 
\npo g 36 
\npo l 85 
\npo m 17 
\npo n 20 
\npo p 15 
\npo r 10 
\npo s 54 
\npo t 34 
\npo v 36 
\npo z 20 
\npr . 26 
\npr a 47 
\npr e 127 
\npr i 162 
\npr o 58 
\npr v 75 
\nra s 12 
\nra z 92 
\nre d 13 
\nre f 15 
\nre z 18 
\nro d 12 
\nro j 17 
\ns\s p 13 
\ns\s s 10 
\ns\s t 26 
\nsa m 26 
\nse p 120 
\nse s 12 
\nse v 12 
\nse z 123 
\nsi s 11 
\nsk o 11 
\nsk u 21 
\nsl a 11 
\nsl e 14 
\nsl o 27 
\nso \s 12 
\nso d 22 
\nsp o 19 
\nsp r 16 
\nsr e 14 
\nst a 39 
\nst e 10 
\nst o 195 
\nst r 37 
\nsv e 34 
\nsv o 13 
\nta \s 57 
\nta k 80 
\nta m 11 
\nte \s 15 
\nte k 12 
\nte m 12 
\nth e 10 
\nti \s 15 
\nto \s 75 
\nto d 10 
\ntr a 16 
\ntr e 23 
\ntu \s 11 
\ntu d 37 
\ntu r 10 
\num r 14 
\nup o 28 
\nup r 10 
\nus t 11 
\nv\s a 10 
\nv\s b 12 
\nv\s d 17 
\nv\s i 10 
\nv\s k 14 
\nv\s l 41 
\nv\s m 21 
\nv\s n 46 
\nv\s o 19 
\nv\s p 52 
\nv\s s 65 
\nv\s t 47 
\nv\s v 15 
\nv\s z 22 
\nv\s č 16 
\nva r 10 
\nve l 49 
\nve n 19 
\nve r 13 
\nve č 38 
\nvi r 68 
\nvo d 13 
\nvo j 17 
\nvs a 13 
\nvs e 37 
\nza \s 87 
\nza d 19 
\nza n 22 
\nza r 44 
\nza s 15 
\nza t 20 
\nzg o 73 
